n_ieds,ied_rate_per_min,mean_ied_interval_s,n_seizures,total_seizure_dur_s,mean_seizure_dur_s,seizure_burden_pct,first_seizure_min,recording_duration_min,mouse_id,baseline_mV,threshold_mV,group
8585,35.7708,1.675,183,2879.98,15.74,19.9998,4.1,240.0,2150700,0.0225,0.045,WT
5477,22.8208,2.6027,73,1384.63,18.97,9.6155,1.53,240.0,2151300,0.474,0.948,WT
12,0.05,1300.3895,0,0.0,0.0,0.0,,240.0,2151701,0.6735,1.347,WT
0,0.0,0.0,0,0.0,0.0,0.0,,240.0,2151800,3.163,6.326,WT
814,3.3917,16.527,19,131.33,6.91,0.912,0.52,240.0,2151900,0.6285,1.257,WT
3439,14.3292,4.1616,92,1789.32,19.45,12.4258,2.28,240.0,2152000,0.2045,0.409,WT
3592,14.9667,4.0065,77,1090.03,14.16,7.5696,8.54,240.0,2152100,0.306,0.612,WT
0,0.0,0.0,0,0.0,0.0,0.0,,240.0,2152100,1.2935,2.587,WT
0,0.0,0.0,0,0.0,0.0,0.0,,240.0,2150800,1.3075,2.615,KO
1903,7.9292,7.5634,34,463.37,13.63,3.2178,8.77,240.0,2151000,0.134,0.268,KO
0,0.0,0.0,0,0.0,0.0,0.0,,240.0,2151100,0.756,1.512,KO
3367,14.0292,4.2719,31,561.9,18.13,3.9021,12.34,240.0,2151200,0.1075,0.215,KO
1256,5.2333,10.1894,17,400.48,23.56,2.7811,2.53,240.0,2151400,0.5715,1.143,KO
2237,9.3208,6.3771,48,484.12,10.09,3.3619,0.11,240.0,2151400,0.1465,0.293,KO
1095,4.5625,13.1574,17,269.7,15.86,1.8729,4.23,240.0,2151700,0.1125,0.225,KO
2024,8.4333,6.8365,32,405.75,12.68,2.8177,10.44,240.0,2151800,0.473,0.946,KO
313,1.3042,37.1401,9,75.72,8.41,0.5258,33.88,240.0,2151900,0.5265,1.053,KO
